Date,Category,Region,Quantity,UnitPrice,Revenue
2022-01-06,Beauty,North,2,35.65,71.3
2022-01-06,Clothing,South,4,48.19,192.76
2022-01-06,Electronics,South,2,214.3,428.6
2022-01-06,Home & Kitchen,West,3,63.62,190.85
2022-01-06,Home & Kitchen,East,3,70.21,210.63
2022-01-06,Electronics,North,4,200.03,800.12
2022-01-06,Home & Kitchen,North,4,71.45,285.81
2022-01-06,Electronics,South,2,196.59,393.18
2022-01-06,Sports,South,1,57.86,57.86
2022-01-07,Electronics,South,3,175.69,527.08
2022-01-07,Clothing,South,2,38.73,77.46
2022-01-07,Electronics,North,2,187.19,374.37
2022-01-07,Clothing,South,4,47.36,189.43
2022-01-07,Sports,West,3,53.26,159.77
2022-01-07,Beauty,South,3,30.77,92.3
2022-01-07,Sports,East,2,63.44,126.88
2022-01-07,Sports,West,3,52.4,157.2
2022-01-07,Beauty,North,4,32.82,131.27
2022-01-07,Sports,North,4,60.26,241.05
2022-01-08,Sports,North,4,54.62,284.04
2022-01-08,Home & Kitchen,West,1,70.27,91.35
2022-01-08,Electronics,West,1,199.49,259.33
2022-01-08,Electronics,North,3,168.77,658.18
2022-01-08,Electronics,North,2,213.65,555.48
2022-01-08,Electronics,North,4,186.48,969.67
2022-01-08,Beauty,West,2,28.89,75.12
2022-01-08,Home & Kitchen,East,4,71.77,373.2
2022-01-08,Sports,West,4,58.74,305.45
2022-01-08,Sports,East,3,55.2,215.28
2022-01-09,Home & Kitchen,North,2,62.51,162.52
2022-01-09,Electronics,South,1,158.95,206.63
2022-01-09,Beauty,West,1,26.23,34.1
2022-01-09,Beauty,East,1,35.59,46.27
2022-01-09,Home & Kitchen,North,1,67.66,87.96
2022-01-09,Home & Kitchen,North,4,68.58,356.6
2022-01-09,Home & Kitchen,West,4,56.86,295.65
2022-01-09,Beauty,West,4,29.58,153.79
2022-01-09,Home & Kitchen,South,4,63.77,331.62
2022-01-09,Clothing,East,2,47.95,124.67
2022-01-09,Clothing,East,4,40.98,213.09
2022-01-09,Sports,West,4,48.63,252.89
2022-01-09,Electronics,North,2,206.89,537.92
2022-01-09,Sports,North,1,48.98,63.68
2022-01-09,Clothing,West,2,43.86,114.03
2022-01-09,Home & Kitchen,South,4,74.74,388.62
2022-01-10,Home & Kitchen,North,1,61.92,61.92
2022-01-10,Clothing,East,1,50.1,50.1
2022-01-10,Sports,North,3,48.51,145.52
2022-01-10,Clothing,East,2,46.91,93.81
2022-01-10,Sports,South,1,62.57,62.57
2022-01-10,Electronics,West,1,200.98,200.98
2022-01-10,Home & Kitchen,North,2,57.16,114.33
2022-01-10,Beauty,West,4,31.52,126.08
2022-01-10,Clothing,East,1,43.78,43.78
2022-01-10,Beauty,West,1,28.85,28.85
2022-01-10,Sports,West,3,64.67,194.0
2022-01-10,Home & Kitchen,West,1,62.53,62.53
2022-01-10,Home & Kitchen,North,3,75.21,225.64
2022-01-10,Sports,North,1,52.18,52.18
2022-01-10,Electronics,North,4,203.83,815.32
2022-01-10,Sports,North,3,49.02,147.07
2022-01-10,Beauty,North,4,25.61,102.46
2022-01-10,Beauty,North,3,33.38,100.15
2022-01-10,Sports,North,2,64.12,128.25
2022-01-10,Beauty,West,4,29.41,117.62
2022-01-11,Electronics,West,1,155.72,155.72
2022-01-11,Beauty,West,2,30.28,60.57
2022-01-11,Beauty,North,3,28.45,85.35
2022-01-11,Clothing,North,2,47.45,94.91
2022-01-11,Home & Kitchen,North,1,71.08,71.08
2022-01-11,Electronics,East,3,214.07,642.2
2022-01-11,Beauty,South,1,35.93,35.93
2022-01-11,Beauty,South,1,35.61,35.61
2022-01-11,Home & Kitchen,North,3,68.52,205.56
2022-01-11,Electronics,West,4,160.4,641.62
2022-01-11,Clothing,North,2,45.63,91.26
2022-01-11,Clothing,South,3,40.0,120.0
2022-01-11,Electronics,North,4,188.18,752.72
2022-01-11,Beauty,West,4,29.45,117.8
2022-01-11,Clothing,West,1,53.17,53.17
2022-01-11,Electronics,East,4,176.58,706.32
2022-01-11,Beauty,East,4,28.5,114.0
2022-01-12,Home & Kitchen,East,1,77.32,77.32
2022-01-12,Clothing,South,1,53.28,53.28
2022-01-12,Beauty,South,3,28.1,84.29
2022-01-12,Beauty,North,3,33.57,100.72
2022-01-12,Beauty,North,1,36.0,36.0
2022-01-12,Clothing,North,1,39.14,39.14
2022-01-12,Sports,North,1,55.77,55.77
2022-01-12,Sports,West,3,49.65,148.94
2022-01-12,Clothing,West,2,51.89,103.78
2022-01-12,Beauty,West,1,31.94,31.94
2022-01-12,Electronics,South,3,204.82,614.46
2022-01-12,Clothing,West,1,49.03,49.03
2022-01-12,Beauty,South,3,31.13,93.39
2022-01-12,Home & Kitchen,West,1,77.42,77.42
2022-01-12,Electronics,South,4,175.26,701.04
2022-01-12,Electronics,East,4,176.72,706.87
2022-01-13,Clothing,East,2,43.74,87.47
2022-01-13,Electronics,East,3,161.75,485.24
2022-01-13,Electronics,East,3,161.12,483.36
2022-01-13,Clothing,North,2,48.23,96.45
2022-01-13,Electronics,West,1,214.74,214.74
2022-01-13,Electronics,West,1,184.0,184.0
2022-01-13,Home & Kitchen,East,1,76.85,76.85
2022-01-13,Home & Kitchen,West,3,64.27,192.81
2022-01-13,Sports,North,2,60.3,120.61
2022-01-13,Electronics,South,4,153.92,615.67
2022-01-13,Clothing,West,3,38.7,116.11
2022-01-13,Home & Kitchen,North,2,75.19,150.39
2022-01-13,Sports,East,2,63.15,126.31
2022-01-13,Electronics,South,2,185.78,371.56
2022-01-13,Home & Kitchen,West,2,63.4,126.8
2022-01-13,Clothing,South,2,44.43,88.86
2022-01-14,Electronics,East,3,209.4,628.19
2022-01-14,Clothing,North,2,38.83,77.66
2022-01-14,Home & Kitchen,East,4,57.69,230.75
2022-01-14,Clothing,South,4,44.06,176.24
2022-01-14,Clothing,East,2,43.41,86.82
2022-01-14,Electronics,North,4,154.26,617.06
2022-01-14,Clothing,East,3,42.07,126.21
2022-01-14,Electronics,East,3,176.34,529.02
2022-01-14,Home & Kitchen,South,1,59.62,59.62
2022-01-14,Beauty,East,4,26.14,104.57
2022-01-14,Sports,North,2,48.32,96.65
2022-01-14,Home & Kitchen,North,3,56.14,168.43
2022-01-14,Clothing,South,2,43.99,87.97
2022-01-14,Electronics,North,2,160.6,321.2
2022-01-14,Electronics,North,2,170.55,341.1
2022-01-14,Clothing,East,4,45.71,182.86
2022-01-14,Electronics,North,4,200.14,800.56
2022-01-15,Home & Kitchen,West,1,77.6,100.88
2022-01-15,Electronics,East,1,158.05,205.47
2022-01-15,Electronics,East,2,170.96,444.5
2022-01-15,Electronics,South,2,168.5,438.09
2022-01-15,Beauty,North,1,27.99,36.39
2022-01-15,Home & Kitchen,West,4,65.07,338.37
2022-01-15,Electronics,North,1,175.87,228.64
2022-01-15,Clothing,East,4,46.71,242.89
2022-01-15,Home & Kitchen,West,2,73.2,190.33
2022-01-15,Home & Kitchen,South,3,63.35,247.07
2022-01-16,Electronics,East,1,191.47,248.91
2022-01-16,Clothing,South,1,39.25,51.02
2022-01-16,Clothing,North,2,40.68,105.77
2022-01-16,Clothing,East,4,46.24,240.47
2022-01-16,Clothing,East,3,39.07,152.36
2022-01-16,Beauty,East,3,31.5,122.86
2022-01-16,Electronics,West,2,195.12,507.32
2022-01-16,Beauty,West,3,34.08,132.91
2022-01-16,Electronics,West,1,164.78,214.22
2022-01-17,Sports,South,4,57.72,230.88
2022-01-17,Electronics,North,1,168.65,168.65
2022-01-17,Home & Kitchen,East,3,73.19,219.57
2022-01-17,Electronics,East,3,192.06,576.19
2022-01-17,Beauty,East,3,29.02,87.05
2022-01-17,Beauty,East,3,26.73,80.18
2022-01-17,Beauty,East,2,31.21,62.41
2022-01-17,Sports,East,1,51.22,51.22
2022-01-17,Clothing,West,4,45.17,180.67
2022-01-17,Clothing,East,1,43.0,43.0
2022-01-17,Electronics,North,3,194.91,584.72
2022-01-17,Sports,South,4,49.9,199.6
2022-01-17,Home & Kitchen,West,1,58.43,58.43
2022-01-17,Electronics,East,1,199.69,199.69
2022-01-17,Electronics,West,3,212.12,636.35
2022-01-17,Beauty,South,4,35.63,142.53
2022-01-17,Clothing,East,3,43.74,131.23
2022-01-17,Home & Kitchen,North,1,68.8,68.8
2022-01-17,Home & Kitchen,West,1,75.21,75.21
2022-01-18,Home & Kitchen,South,2,69.16,138.32
2022-01-18,Home & Kitchen,South,3,72.0,216.01
2022-01-18,Sports,South,1,57.84,57.84
2022-01-18,Home & Kitchen,West,1,76.24,76.24
2022-01-18,Electronics,West,3,211.72,635.17
2022-01-18,Clothing,South,3,40.67,122.0
2022-01-18,Beauty,South,3,30.23,90.7
2022-01-18,Electronics,North,4,164.44,657.76
2022-01-18,Home & Kitchen,East,4,67.6,270.39
2022-01-18,Electronics,West,1,198.36,198.36
2022-01-18,Clothing,North,4,40.61,162.44
2022-01-18,Electronics,West,1,161.03,161.03
2022-01-18,Beauty,South,2,29.71,59.42
2022-01-19,Electronics,North,3,212.61,637.82
2022-01-19,Clothing,South,3,40.7,122.09
2022-01-19,Clothing,South,2,45.19,90.38
2022-01-19,Home & Kitchen,South,1,72.89,72.89
2022-01-19,Electronics,North,1,182.74,182.74
2022-01-19,Electronics,East,2,165.92,331.85
2022-01-19,Home & Kitchen,North,2,72.31,144.62
2022-01-19,Electronics,North,4,184.64,738.55
2022-01-19,Beauty,North,4,29.85,119.41
2022-01-19,Electronics,North,1,164.22,164.22
2022-01-19,Clothing,East,3,48.21,144.62
2022-01-19,Clothing,South,1,52.66,52.66
2022-01-19,Clothing,East,2,41.03,82.06
2022-01-19,Sports,North,4,51.07,204.29
2022-01-19,Beauty,South,3,29.14,87.43
2022-01-19,Clothing,East,4,46.71,186.86
2022-01-19,Clothing,West,1,38.32,38.32
2022-01-19,Home & Kitchen,North,3,56.5,169.49
2022-01-19,Beauty,East,2,30.95,61.9
2022-01-20,Electronics,South,3,190.19,570.57
2022-01-20,Electronics,West,1,179.55,179.55
2022-01-20,Electronics,East,1,154.67,154.67
2022-01-20,Clothing,West,2,38.45,76.91
2022-01-20,Clothing,North,2,41.48,82.96
2022-01-20,Sports,West,2,62.73,125.46
2022-01-20,Beauty,East,1,29.09,29.09
2022-01-20,Sports,East,3,59.32,177.95
2022-01-20,Home & Kitchen,North,4,57.62,230.47
2022-01-20,Electronics,East,3,167.56,502.67
2022-01-20,Electronics,South,3,194.51,583.54
2022-01-20,Electronics,South,3,168.32,504.96
2022-01-20,Home & Kitchen,West,1,55.83,55.83
2022-01-21,Electronics,North,3,208.06,624.17
2022-01-21,Sports,East,1,46.96,46.96
2022-01-21,Electronics,North,1,194.04,194.04
2022-01-21,Beauty,North,2,31.55,63.11
2022-01-21,Electronics,East,1,154.16,154.16
2022-01-21,Sports,West,2,56.87,113.74
2022-01-21,Electronics,South,1,187.12,187.12
2022-01-21,Beauty,West,4,29.96,119.86
2022-01-21,Electronics,South,2,183.71,367.42
2022-01-21,Clothing,West,2,50.28,100.55
2022-01-21,Clothing,South,1,45.12,45.12
2022-01-21,Home & Kitchen,East,1,58.42,58.42
2022-01-22,Clothing,North,3,43.51,169.71
2022-01-22,Home & Kitchen,East,1,57.33,74.53
2022-01-22,Sports,West,3,51.99,202.76
2022-01-22,Beauty,North,1,35.48,46.12
2022-01-22,Clothing,East,3,51.15,199.49
2022-01-22,Sports,North,1,60.0,78.0
2022-01-22,Sports,North,1,48.2,62.66
2022-01-22,Electronics,East,4,156.24,812.45
2022-01-22,Electronics,West,2,199.5,518.69
2022-01-22,Clothing,East,4,53.01,275.63
2022-01-22,Sports,East,4,57.65,299.8
2022-01-22,Clothing,West,3,43.85,171.02
2022-01-22,Electronics,West,3,168.46,656.98
2022-01-22,Clothing,West,2,46.42,120.7
2022-01-22,Home & Kitchen,East,2,76.05,197.74
2022-01-22,Sports,North,2,47.35,123.11
2022-01-23,Clothing,South,4,51.55,268.07
2022-01-23,Home & Kitchen,North,2,62.5,162.5
2022-01-23,Sports,West,3,52.82,206.0
2022-01-23,Electronics,North,3,174.41,680.21
2022-01-23,Home & Kitchen,East,4,57.99,301.56
2022-01-23,Clothing,South,3,38.83,151.45
2022-01-23,Beauty,South,3,35.41,138.12
2022-01-23,Sports,East,1,60.08,78.1
2022-01-23,Electronics,North,2,210.68,547.76
2022-01-23,Electronics,South,4,211.29,1098.71
2022-01-23,Electronics,South,1,212.48,276.22
2022-01-23,Sports,North,2,56.17,146.05
2022-01-23,Home & Kitchen,West,3,71.91,280.44
2022-01-23,Electronics,North,3,171.73,669.76
2022-01-24,Beauty,East,2,31.88,63.76
2022-01-24,Electronics,West,4,167.6,670.38
2022-01-24,Beauty,East,2,31.94,63.88
2022-01-24,Electronics,South,3,208.38,625.15
2022-01-24,Electronics,South,1,202.54,202.54
2022-01-24,Clothing,North,1,48.95,48.95
2022-01-24,Electronics,North,1,215.23,215.23
2022-01-24,Clothing,West,2,41.93,83.86
2022-01-24,Clothing,East,4,49.87,199.47
2022-01-24,Beauty,East,1,33.57,33.57
2022-01-24,Clothing,North,4,48.13,192.53
2022-01-24,Beauty,West,1,33.56,33.56
2022-01-24,Home & Kitchen,West,4,73.42,293.69
2022-01-24,Beauty,South,3,34.68,104.05
2022-01-24,Home & Kitchen,South,2,55.81,111.61
2022-01-24,Electronics,East,1,175.34,175.34
2022-01-25,Clothing,West,2,47.58,95.16
2022-01-25,Home & Kitchen,North,1,74.61,74.61
2022-01-25,Clothing,South,1,41.72,41.72
2022-01-25,Clothing,West,3,49.64,148.93
2022-01-25,Home & Kitchen,East,2,64.54,129.08
2022-01-25,Beauty,North,3,32.38,97.14
2022-01-25,Electronics,North,4,169.73,678.93
2022-01-25,Electronics,North,3,213.21,639.62
2022-01-25,Sports,South,1,51.06,51.06
2022-01-25,Sports,South,1,49.71,49.71
2022-01-25,Beauty,North,3,29.66,88.98
2022-01-25,Beauty,North,1,35.24,35.24
2022-01-25,Sports,South,1,47.86,47.86
2022-01-25,Electronics,South,1,164.75,164.75
2022-01-25,Home & Kitchen,North,4,68.45,273.79
2022-01-26,Beauty,North,4,33.37,133.49
2022-01-26,Home & Kitchen,East,2,75.08,150.15
2022-01-26,Electronics,South,2,174.79,349.58
2022-01-26,Electronics,East,4,197.61,790.46
2022-01-26,Electronics,West,4,196.34,785.35
2022-01-26,Clothing,West,3,52.93,158.79
2022-01-26,Sports,South,1,65.29,65.29
2022-01-26,Home & Kitchen,East,4,57.68,230.74
2022-01-26,Home & Kitchen,East,2,69.67,139.35
2022-01-26,Sports,North,4,46.87,187.49
2022-01-26,Sports,East,2,62.5,124.99
2022-01-26,Sports,South,4,53.2,212.8
2022-01-26,Beauty,South,1,25.81,25.81
2022-01-26,Home & Kitchen,South,4,58.86,235.43
2022-01-26,Sports,North,1,59.84,59.84
2022-01-26,Beauty,East,4,32.94,131.75
2022-01-26,Beauty,East,4,32.41,129.65
2022-01-26,Home & Kitchen,East,1,61.32,61.32
2022-01-26,Clothing,South,3,53.7,161.11
2022-01-27,Electronics,North,2,162.52,325.03
2022-01-27,Beauty,North,2,34.89,69.78
2022-01-27,Home & Kitchen,South,3,61.49,184.47
2022-01-27,Clothing,North,3,44.86,134.58
2022-01-27,Electronics,South,4,194.23,776.94
2022-01-27,Electronics,East,1,173.39,173.39
2022-01-27,Clothing,North,1,40.83,40.83
2022-01-27,Clothing,South,2,53.95,107.91
2022-01-27,Clothing,East,3,49.01,147.04
2022-01-27,Sports,North,3,51.0,153.0
2022-01-28,Clothing,South,3,47.7,143.1
2022-01-28,Clothing,West,1,39.39,39.39
2022-01-28,Electronics,West,4,172.55,690.21
2022-01-28,Clothing,East,2,47.42,94.83
2022-01-28,Home & Kitchen,West,1,59.81,59.81
2022-01-28,Clothing,South,3,40.22,120.67
2022-01-28,Home & Kitchen,West,4,55.99,223.96
2022-01-28,Sports,South,2,61.4,122.8
2022-01-28,Electronics,North,1,201.93,201.93
2022-01-28,Beauty,West,3,35.67,107.0
2022-01-28,Electronics,North,4,176.22,704.87
2022-01-28,Beauty,East,4,33.86,135.45
2022-01-29,Home & Kitchen,South,2,73.46,191.0
2022-01-29,Sports,West,4,60.5,314.58
2022-01-29,Beauty,East,3,31.18,121.62
2022-01-29,Home & Kitchen,East,3,55.97,218.28
2022-01-29,Electronics,East,4,159.59,829.86
2022-01-29,Electronics,South,3,161.36,629.31
2022-01-29,Beauty,West,3,30.74,119.88
2022-01-29,Electronics,West,1,185.62,241.3
2022-01-29,Home & Kitchen,West,1,67.98,88.38
2022-01-29,Clothing,West,1,42.06,54.68
2022-01-29,Beauty,South,1,25.92,33.69
2022-01-29,Electronics,North,2,155.09,403.24
2022-01-30,Beauty,East,2,33.3,86.58
2022-01-30,Home & Kitchen,East,1,58.24,75.72
2022-01-30,Beauty,West,3,32.04,124.96
2022-01-30,Clothing,South,3,47.58,185.56
2022-01-30,Clothing,South,3,52.44,204.5
2022-01-30,Home & Kitchen,West,2,71.75,186.55
2022-01-30,Beauty,West,2,34.6,89.97
2022-01-30,Clothing,West,4,44.09,229.29
2022-01-30,Electronics,North,3,182.15,710.37
2022-01-30,Beauty,West,1,27.41,35.64
2022-01-30,Beauty,North,3,32.33,126.08
2022-01-30,Home & Kitchen,South,3,60.45,235.74
2022-01-30,Sports,East,4,56.34,292.97
2022-01-30,Electronics,North,3,166.81,650.56
2022-01-30,Electronics,South,4,168.57,876.55
2022-01-30,Home & Kitchen,North,4,71.89,373.85
2022-01-30,Home & Kitchen,South,2,65.54,170.4
2022-01-30,Sports,East,3,63.98,249.5
2022-01-30,Electronics,East,1,157.55,204.81
2022-01-31,Electronics,West,4,155.31,621.24
2022-01-31,Electronics,East,4,197.53,790.11
2022-01-31,Clothing,South,1,45.04,45.04
2022-01-31,Electronics,South,4,185.75,742.98
2022-01-31,Beauty,East,3,27.98,83.94
2022-01-31,Clothing,West,4,40.31,161.25
2022-01-31,Home & Kitchen,South,1,64.15,64.15
2022-01-31,Clothing,West,3,43.91,131.72
2022-01-31,Clothing,South,2,51.96,103.93
2022-01-31,Beauty,East,1,34.47,34.47
2022-01-31,Beauty,South,3,32.4,97.19
2022-02-01,Electronics,North,4,197.39,631.66
2022-02-01,Home & Kitchen,West,3,76.43,183.43
2022-02-01,Clothing,North,2,51.94,83.1
2022-02-01,Sports,South,3,59.9,143.77
2022-02-01,Beauty,South,3,32.77,78.65
2022-02-01,Home & Kitchen,North,1,60.16,48.13
2022-02-01,Electronics,West,1,180.96,144.77
2022-02-01,Electronics,East,4,214.1,685.13
2022-02-01,Clothing,West,2,40.45,64.72
2022-02-01,Electronics,South,1,211.83,169.47
2022-02-01,Electronics,South,1,193.26,154.61
2022-02-01,Electronics,North,2,213.8,342.08
2022-02-01,Clothing,North,3,38.9,93.37
2022-02-01,Home & Kitchen,West,2,56.15,89.83
2022-02-01,Electronics,South,2,156.6,250.55
2022-02-01,Home & Kitchen,East,2,59.93,95.89
2022-02-01,Clothing,North,4,50.94,163.01
2022-02-01,Beauty,East,4,30.91,98.92
2022-02-02,Sports,South,2,60.57,96.92
2022-02-02,Home & Kitchen,West,4,69.08,221.06
2022-02-02,Clothing,West,1,44.53,35.63
2022-02-02,Home & Kitchen,South,4,55.83,178.67
2022-02-02,Clothing,East,1,51.85,41.48
2022-02-02,Home & Kitchen,South,2,69.34,110.95
2022-02-02,Clothing,North,1,41.99,33.59
2022-02-02,Clothing,East,3,49.2,118.09
2022-02-02,Clothing,West,2,39.4,63.04
2022-02-02,Clothing,East,1,40.14,32.11
2022-02-02,Sports,South,1,62.11,49.69
2022-02-02,Clothing,South,4,48.76,156.05
2022-02-02,Home & Kitchen,North,3,75.24,180.57
2022-02-02,Clothing,West,1,50.57,40.46
2022-02-02,Beauty,South,3,35.76,85.82
2022-02-02,Home & Kitchen,South,2,70.22,112.35
2022-02-02,Home & Kitchen,North,1,62.63,50.11
2022-02-03,Home & Kitchen,South,1,74.36,59.49
2022-02-03,Beauty,West,1,27.99,22.39
2022-02-03,Sports,South,4,62.59,200.27
2022-02-03,Clothing,South,1,39.75,31.8
2022-02-03,Home & Kitchen,North,3,68.6,164.63
2022-02-03,Home & Kitchen,West,3,67.69,162.45
2022-02-03,Clothing,South,4,40.4,129.28
2022-02-03,Electronics,North,2,154.49,247.18
2022-02-03,Electronics,South,1,190.45,152.36
2022-02-03,Beauty,North,2,27.73,44.36
2022-02-03,Electronics,East,4,207.36,663.54
2022-02-03,Beauty,East,2,34.1,54.56
2022-02-03,Electronics,North,4,169.18,541.37
2022-02-03,Beauty,West,2,33.96,54.34
2022-02-03,Home & Kitchen,West,1,69.65,55.72
2022-02-03,Beauty,North,4,35.23,112.75
2022-02-03,Electronics,North,1,175.15,140.12
2022-02-03,Clothing,East,1,50.9,40.72
2022-02-03,Electronics,East,4,193.79,620.13
2022-02-03,Sports,North,1,54.71,43.77
2022-02-03,Electronics,East,3,195.91,470.19
2022-02-03,Electronics,North,3,197.67,474.41
2022-02-03,Electronics,South,1,169.16,135.33
2022-02-03,Home & Kitchen,West,2,69.14,110.62
2022-02-04,Home & Kitchen,East,4,70.31,224.98
2022-02-04,Clothing,West,2,53.88,86.21
2022-02-04,Sports,West,2,51.27,82.03
2022-02-04,Sports,North,4,59.55,190.56
2022-02-04,Electronics,East,3,165.66,397.58
2022-02-04,Electronics,West,2,213.33,341.33
2022-02-04,Home & Kitchen,South,3,65.83,158.0
2022-02-04,Home & Kitchen,North,2,62.83,100.52
2022-02-04,Home & Kitchen,South,2,65.5,104.79
2022-02-04,Electronics,North,4,167.72,536.72
2022-02-04,Clothing,West,1,46.43,37.14
2022-02-04,Electronics,West,1,167.28,133.82
2022-02-04,Electronics,West,1,209.33,167.47
2022-02-04,Home & Kitchen,South,4,70.06,224.18
2022-02-04,Sports,South,4,52.03,166.49
2022-02-04,Beauty,West,2,26.59,42.55
2022-02-04,Clothing,East,1,49.16,39.32
2022-02-05,Clothing,West,2,48.35,100.56
2022-02-05,Sports,North,1,63.34,65.88
2022-02-05,Beauty,South,1,31.87,33.14
2022-02-05,Sports,North,4,56.42,234.73
2022-02-05,Clothing,North,3,46.22,144.21
2022-02-05,Electronics,South,4,161.52,671.9
2022-02-05,Beauty,West,4,35.64,148.27
2022-02-05,Clothing,South,3,49.2,153.49
2022-02-05,Clothing,West,3,48.34,150.83
2022-02-05,Clothing,North,1,44.04,45.8
2022-02-05,Sports,West,2,48.31,100.48
2022-02-05,Electronics,South,1,176.98,184.06
2022-02-05,Beauty,South,4,35.27,146.73
2022-02-05,Beauty,East,3,35.92,112.06
2022-02-05,Clothing,West,2,46.37,96.45
2022-02-05,Home & Kitchen,East,3,64.28,200.56
2022-02-05,Clothing,North,2,53.01,110.25
2022-02-05,Electronics,North,3,169.58,529.08
2022-02-05,Sports,South,4,60.39,251.24
2022-02-05,Electronics,East,4,161.05,669.95
2022-02-05,Sports,North,4,58.75,244.42
2022-02-05,Beauty,South,2,33.96,70.64
2022-02-06,Clothing,West,4,46.55,193.65
2022-02-06,Clothing,South,3,49.8,155.39
2022-02-06,Clothing,North,3,44.04,137.41
2022-02-06,Clothing,East,1,52.21,54.3
2022-02-06,Beauty,North,1,31.96,33.24
2022-02-06,Sports,South,1,47.87,49.78
2022-02-06,Electronics,South,2,159.37,331.48
2022-02-06,Beauty,East,1,26.99,28.07
2022-02-06,Beauty,North,3,32.8,102.33
2022-02-06,Home & Kitchen,East,3,56.65,176.73
2022-02-06,Home & Kitchen,West,1,66.84,69.51
2022-02-07,Electronics,East,1,157.54,126.03
2022-02-07,Home & Kitchen,North,4,56.2,179.83
2022-02-07,Home & Kitchen,East,1,72.03,57.62
2022-02-07,Home & Kitchen,East,1,56.77,45.41
2022-02-07,Home & Kitchen,South,4,75.61,241.96
2022-02-07,Electronics,West,4,182.07,582.63
2022-02-07,Clothing,North,1,51.49,41.19
2022-02-07,Sports,North,1,60.0,48.0
2022-02-07,Sports,North,1,65.14,52.11
2022-02-07,Clothing,West,1,45.49,36.39
2022-02-07,Electronics,South,2,162.45,259.92
2022-02-07,Home & Kitchen,East,1,74.46,59.57
2022-02-07,Beauty,West,1,26.65,21.32
2022-02-07,Electronics,North,1,203.5,162.8
